"id","title","format","materials","price","year","format","exhibition","height","width","length","fid","filename","uri","photo_credit","credit_year","uri"
2,"A drug-induced fever","sculpture","lead",1800,01/01/2018,"sculpture","On Gurgling",6,8,10,,,,,,
3,"A view from below","sculpture","chicken bones;ribbon",500,01/01/2016,"sculpture","Property","variable",,,,,,,,
4,"Act Natural","sculpture","glass",1200,01/01/2017,"sculpture","My Enemy",6,3.5,4,,,,,,
5,"After gober","sculpture","hot sauce packet;plexi",,2015,"sculpture","Personal Effects",3,1.5,0.5,,,,,,
6,"Agony (ed 2, one artist's proof)","sculpture","LED sign",1800,2018,"sculpture","On Gurgling",15,24,3,,,,,,
7,"Allergy of Sleep","sculpture","glass",8000,2017,"sculpture","Extinction Anxiety/My Enemy",14,9,14,,,,,,
8,"Augenblick","sculpture","road cone;paint",,2012,"sculpture","Known World",24,18,6,,,,,,
9,"Bod is ow","sculpture","denim skirt;paint;varathane",1800,2015,"sculpture","Personal Effects",15,16,6.5,,,,,,
10,"Buried Under the Animals","sculpture","bronze;chrome;mirror;wood",1200,2017,"sculpture","My Enemy",2,18,18,,,,,,
11,"Choking Hazard","sculpture","plaster;steel cable",,2008,"sculpture","Antistatic",10,20,10,,,,,,
12,"City of Benares","sculpture","glass",3500,2017,"sculpture","Extinction Anxiety",4,14,8,,,,,,
13,"City of Benares","sculpture","pate de verre",2400,2015,"sculpture",,3.5,14,8,,,,,,
14,"closed kinetic chain","sculpture","shoe lace;paint",,2015,"sculpture","Personal Effects",12,5.5,,,,,,,
15,"Crutch","sculpture","silicone",,2010,"sculpture","Slipping Underwater",28,10,6,,,,,,
16,"Daemon (closed cast standing bunny) edition 5","sculpture","glass",2400,2016,"sculpture",,5,3,5,,,,,,
17,"Dead Inside","sculpture","chain link;powdercoat;motor",,2010,"sculpture","Hold",72,120,120,,,,,,
18,"Distant Relative","digital image",,,2012,"digital image","Known World",4,7,,,,,,,
19,"distinguishing characteristics","sound, loop, 21:10",,,2015,"sound, loop, 21:10",,,,,,,,,,
20,"Do not do","sound","white trash",1000,2016,"sound","Property",,,,,,,,,
21,"Double Think","sculpture","plaster;paint;rubber band",,2010,"sculpture","Slipping Underwater",4,6,3,,,,,,
22,"Drive of Living Things 6","sculpture","glass",300,2017,"sculpture","Extinction Anxiety",3.5,3,2,,,,,,
